Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Team Success (xG) On-Off,Matches
442,Nikolaos Botis,GRE,GK,Inter,Serie A,18,2004,0,0,0,0.0,0.0,0,0,0,0,0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
443,Sven Botman,NED,DF,Newcastle Utd,Premier League,22,2000,36,3127,87,91.4,34.7,35,89,33,1,1,2,1.94,64,30,34,0.98,0.67,66.8,37.1,29.7,0.86,0.03,Matches
444,Kenji-Van Boto,MAD,DF,Auxerre,Ligue 1,26,1996,2,180,90,5.3,2.0,2,90,2,0,0,14,3.0,5,1,4,2.0,2.89,2.1,2.1,-0.1,-0.03,0.42,Matches
445,Kouamé Botué,BFA,"FW,MF",Ajaccio,Ligue 1,19,2002,8,229,29,6.7,2.5,2,59,0,6,19,6,0.38,1,5,-4,-1.57,-0.25,3.0,5.1,-2.1,-0.81,-0.37,Matches
446,Badredine Bouanani,ALG,"FW,MF",Nice,Ligue 1,17,2004,19,863,45,25.2,9.6,9,71,1,10,22,3,1.63,12,7,5,0.52,0.31,15.5,10.8,4.7,0.49,0.21,Matches
447,Hicham Boudaoui,ALG,MF,Nice,Ligue 1,22,1999,27,1875,69,54.8,20.8,22,78,11,5,30,2,1.78,27,14,13,0.62,0.74,34.9,25.4,9.5,0.46,0.28,Matches
448,Franci Bouebari,FRA,DF,Strasbourg,Ligue 1,18,2003,2,76,38,2.2,0.8,0,0,0,2,38,11,1.5,2,1,1,1.18,1.43,1.1,2.4,-1.3,-1.5,-1.35,Matches
449,Sofiane Boufal,MAR,"FW,MF",Angers,Ligue 1,28,1993,13,834,64,24.4,9.3,9,79,2,4,31,0,0.54,12,23,-11,-1.19,0.1,13.5,15.6,-2.1,-0.23,0.42,Matches
450,Teddy Boulhendi,FRA,GK,Nice,Ligue 1,21,2001,0,0,0,0.0,0.0,0,0,0,0,0,19,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
451,Reda Boultam,NED,MF,Salernitana,Serie A,24,1998,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
452,Yassine Bounou,MAR,GK,Sevilla,La Liga,31,1991,25,2151,86,62.9,23.9,25,86,23,0,0,12,1.04,27,42,-15,-0.63,-1.19,28.1,37.8,-9.7,-0.41,-0.53,Matches
453,Ismaëlben Boura,FRA,"DF,FW",Lens,Ligue 1,21,2000,9,93,10,2.7,1.0,0,0,0,9,10,21,1.78,5,2,3,2.9,1.93,2.6,3.3,-0.7,-0.71,-1.37,Matches
454,Mehdi Bourabia,MAR,MF,Spezia,Serie A,30,1991,37,2771,75,81.0,30.8,36,76,12,1,31,1,0.82,28,50,-22,-0.71,0.53,33.6,49.2,-15.5,-0.5,-0.17,Matches
455,Benjamin Bourigeaud,FRA,"MF,FW",Rennes,Ligue 1,28,1994,37,3065,83,89.6,34.1,37,83,16,0,0,0,1.76,64,35,29,0.85,0.6,55.3,39.1,16.1,0.47,0.19,Matches
456,Edoardo Bove,ITA,MF,Roma,Serie A,20,2002,22,992,45,29.0,11.0,10,75,4,12,20,16,1.77,12,13,-1,-0.09,-0.57,13.0,12.7,0.3,0.03,-0.9,Matches
457,Jarrod Bowen,ENG,"FW,MF",West Ham,Premier League,25,1996,38,3233,85,94.5,35.9,36,89,30,2,19,0,1.05,40,50,-10,-0.28,1.17,46.7,47.9,-1.2,-0.03,1.24,Matches
458,Lucas Boyé,ARG,FW,Elche,La Liga,26,1996,35,2462,70,72.0,27.4,29,81,14,6,21,0,0.69,24,47,-23,-0.84,0.47,27.5,44.8,-17.3,-0.63,0.8,Matches
459,Andrea Bozzolan,ITA,DF,Milan,Serie A,18,2004,0,0,0,0.0,0.0,0,0,0,0,0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
460,Jayden Braaf,NED,"MF,FW",Hellas Verona,Serie A,19,2002,6,288,48,8.4,3.2,2,75,0,4,35,14,0.33,2,4,-2,-0.62,0.12,2.7,5.0,-2.3,-0.72,-0.38,Matches
461,Domagoj Bradarić,CRO,DF,Salernitana,Serie A,22,1999,31,2250,73,65.8,25.0,24,85,19,7,29,5,1.13,31,44,-13,-0.52,-0.44,22.8,44.3,-21.5,-0.86,-0.17,Matches
462,Davide Bragantini,ITA,FW,Hellas Verona,Serie A,18,2003,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
463,Bilal Brahimi,ALG,"FW,MF",Nice,Ligue 1,22,2000,26,800,31,23.4,8.9,5,67,1,21,22,10,1.31,11,8,3,0.34,0.06,14.5,11.5,3.0,0.33,0.0,Matches
464,Martin Braithwaite,DEN,"FW,MF",Espanyol,La Liga,31,1991,31,2456,79,71.8,27.3,29,83,14,2,29,0,0.94,35,46,-11,-0.4,0.16,32.4,40.5,-8.1,-0.3,0.01,Matches
465,Federico Brancolini,ITA,GK,Lecce,Serie A,21,2001,0,0,0,0.0,0.0,0,0,0,0,0,33,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
466,Juan Brandáriz,ESP,DF,Almería,La Liga,23,1999,21,1489,71,43.5,16.5,15,89,13,6,27,9,1.1,20,30,-10,-0.6,-0.32,20.3,31.7,-11.4,-0.69,-0.43,Matches
467,Julian Brandt,GER,"MF,FW",Dortmund,Bundesliga,26,1996,32,2397,75,78.3,26.6,29,80,12,3,27,0,2.09,67,28,39,1.46,1.46,55.8,29.0,26.8,1.01,0.86,Matches
468,Darko Brašanac,SRB,MF,Osasuna,La Liga,30,1992,25,1041,42,30.4,11.6,9,74,3,16,23,2,1.36,11,14,-3,-0.26,-0.18,12.0,14.5,-2.5,-0.21,-0.07,Matches
469,Lilian Brassier,FRA,DF,Brest,Ligue 1,22,1999,36,3093,86,90.4,34.4,35,88,33,1,3,2,1.22,43,49,-6,-0.17,0.93,40.9,51.5,-10.5,-0.31,0.28,Matches
470,Claudio Bravo,CHI,GK,Betis,La Liga,39,1983,12,1080,90,31.6,12.0,12,90,12,0,0,21,1.67,13,9,4,0.33,0.29,16.8,14.9,1.9,0.16,0.17,Matches
471,Sammy Braybrooke,ENG,MF,Leicester City,Premier League,18,2004,0,0,0,0.0,0.0,0,0,0,0,0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
472,Gabriel Brazão,BRA,GK,Inter,Serie A,21,2000,0,0,0,0.0,0.0,0,0,0,0,0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
473,Fabian Bredlow,GER,GK,Stuttgart,Bundesliga,27,1995,15,1350,90,44.1,15.0,15,90,15,0,0,18,1.13,23,23,0,0.0,0.63,22.2,20.6,1.6,0.11,0.07,Matches
474,James Bree,ENG,DF,Southampton,Premier League,24,1997,5,367,73,10.7,4.1,4,84,2,1,32,1,0.2,6,12,-6,-1.47,-0.56,4.0,9.4,-5.4,-1.32,-0.8,Matches
475,Josip Brekalo,CRO,"FW,MF",Fiorentina,Serie A,24,1998,6,229,38,6.7,2.5,1,90,1,5,28,11,1.5,4,1,3,1.18,0.98,5.1,2.0,3.1,1.23,0.99,Matches
476,Josip Brekalo,CRO,"MF,FW",Wolfsburg,Bundesliga,24,1998,6,271,45,8.9,3.0,3,74,0,3,17,6,1.17,2,5,-3,-1.0,-1.38,2.1,4.5,-2.4,-0.79,-0.87,Matches
477,Gleison Bremer,BRA,DF,Juventus,Serie A,25,1997,30,2634,88,77.0,29.3,30,88,24,0,0,3,1.77,41,31,10,0.34,-1.15,39.6,33.3,6.3,0.21,-0.64,Matches
478,Diego Bri,ESP,FW,Atlético Madrid,La Liga,19,2002,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
479,Armando Broja,ALB,FW,Chelsea,Premier League,20,2001,12,294,25,8.6,3.3,2,67,0,10,16,1,1.5,5,5,0,0.0,0.26,2.8,4.4,-1.6,-0.49,-0.44,Matches
480,Dylan Bronn,TUN,DF,Salernitana,Serie A,27,1995,24,1683,70,49.2,18.7,19,82,14,5,25,8,1.17,24,30,-6,-0.32,0.09,19.2,34.7,-15.5,-0.83,-0.05,Matches
481,David Brooks,WAL,"FW,MF",Bournemouth,Premier League,25,1997,6,173,29,5.1,1.9,2,55,0,4,16,5,0.0,0,4,-4,-2.08,-1.25,1.0,4.5,-3.5,-1.83,-1.23,Matches
482,John Brooks,USA,DF,Hoffenheim,Bundesliga,29,1993,15,1350,90,44.1,15.0,15,90,15,0,0,2,1.13,23,28,-5,-0.33,-0.12,19.4,23.2,-3.8,-0.25,-0.29,Matches
483,Moritz Broschinski,GER,"FW,MF",Bochum,Bundesliga,21,2000,11,213,19,7.0,2.4,0,0,0,11,19,3,1.09,5,4,1,0.42,1.47,4.9,6.4,-1.6,-0.66,0.1,Matches
484,Marcelo Brozović,CRO,MF,Inter,Serie A,29,1992,28,1770,63,51.8,19.7,19,83,11,9,22,0,1.79,35,27,8,0.41,-0.74,35.2,20.9,14.3,0.73,-0.22,Matches
485,Maximilian Brüll,GER,GK,M'Gladbach,Bundesliga,19,2002,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
486,Cédric Brunner,SUI,DF,Schalke 04,Bundesliga,28,1994,28,2315,83,75.7,25.7,28,83,18,0,0,0,0.79,22,54,-32,-1.24,-0.76,27.8,41.7,-13.9,-0.54,-0.1,Matches
487,Kevin Bruno,ITA,MF,Sassuolo,Serie A,17,2005,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
488,Lewis Brunt,ENG,DF,Leicester City,Premier League,21,2000,1,23,23,0.7,0.3,0,0,0,1,23,6,0.0,0,1,-1,-3.91,-3.49,0.0,0.8,-0.8,-3.31,-3.0,Matches
489,Jacob Bruun Larsen,DEN,FW,Hoffenheim,Bundesliga,23,1998,12,328,27,10.7,3.6,3,67,0,9,14,5,1.25,5,8,-3,-0.82,-0.63,5.8,6.4,-0.6,-0.16,-0.08,Matches
490,Andreas Bruus,DEN,"DF,FW",Troyes,Ligue 1,23,1999,27,1628,60,47.6,18.1,18,84,10,9,14,4,0.59,20,38,-18,-1.0,-0.09,18.4,40.7,-22.3,-1.23,-0.4,Matches
491,Joe Bryan,ENG,"MF,DF",Nice,Ligue 1,28,1993,6,177,30,5.2,2.0,2,69,0,4,10,12,1.67,3,1,2,1.02,0.77,3.2,1.5,1.7,0.84,0.54,Matches
492,Lee Buchanan,ENG,"DF,FW",Werder Bremen,Bundesliga,21,2001,21,472,22,15.4,5.2,2,74,0,19,17,9,1.0,15,8,7,1.33,2.03,10.0,8.9,1.1,0.21,0.65,Matches
493,Ante Budimir,CRO,FW,Osasuna,La Liga,31,1991,31,1798,58,52.6,20.0,22,73,3,9,20,6,1.48,22,19,3,0.15,0.59,22.1,22.0,0.2,0.01,0.37,Matches
494,Emi Buendía,ARG,"MF,FW",Aston Villa,Premier League,25,1996,38,2412,63,70.5,26.8,27,79,8,11,26,0,1.61,40,34,6,0.22,0.31,36.9,37.2,-0.3,-0.01,0.16,Matches
495,Hugo Bueno,ESP,DF,Wolves,Premier League,19,2002,21,1310,62,38.3,14.6,16,75,7,5,21,9,1.05,12,29,-17,-1.17,-0.74,13.3,23.0,-9.7,-0.67,-0.1,Matches
496,Santiago Bueno,URU,DF,Girona,La Liga,23,1998,34,3010,89,88.0,33.4,34,89,32,0,0,0,1.44,55,48,7,0.21,1.09,45.3,46.0,-0.7,-0.02,0.84,Matches
497,Adam Buksa,POL,"FW,MF",Lens,Ligue 1,26,1996,8,101,13,3.0,1.1,0,0,0,8,13,4,2.38,0,0,0,0.0,-1.06,1.0,2.6,-1.6,-1.41,-2.1,Matches
498,Marius Bülter,GER,"FW,MF",Schalke 04,Bundesliga,29,1993,33,2598,79,84.9,28.9,30,83,20,3,34,0,0.91,29,60,-31,-1.07,-0.1,34.6,44.2,-9.6,-0.33,1.22,Matches
499,Cristian Buonaiuto,ITA,"MF,FW",Cremonese,Serie A,29,1992,29,980,34,28.7,10.9,7,65,1,22,24,7,0.62,10,23,-13,-1.19,-0.46,12.3,19.4,-7.1,-0.65,0.1,Matches
500,Facundo Buonanotte,ARG,"FW,MF",Brighton,Premier League,17,2004,13,565,43,16.5,6.3,6,69,1,7,22,6,1.54,11,12,-1,-0.16,-0.79,11.6,11.9,-0.3,-0.05,-0.79,Matches
501,Alessandro Buongiorno,ITA,DF,Torino,Serie A,23,1999,34,2721,80,79.6,30.2,30,85,24,4,39,2,1.41,35,30,5,0.17,0.68,32.3,30.1,2.2,0.07,0.12,Matches
502,Delano Burgzorg,NED,"FW,MF",Mainz 05,Bundesliga,23,1998,13,244,19,8.0,2.7,0,0,0,13,19,11,1.08,3,5,-2,-0.74,-0.77,3.5,5.1,-1.6,-0.57,-0.42,Matches
503,Jonathan Burkardt,GER,"MF,FW",Mainz 05,Bundesliga,22,2000,11,533,48,17.4,5.9,7,59,0,4,29,0,1.18,7,12,-5,-0.84,-0.99,8.5,9.8,-1.3,-0.22,-0.04,Matches
504,Oliver Burke,SCO,"FW,MF",Werder Bremen,Bundesliga,25,1997,15,268,18,8.8,3.0,1,58,0,14,15,3,1.2,11,7,4,1.34,1.89,7.0,8.0,-0.9,-0.31,0.04,Matches
505,Dan Burn,ENG,DF,Newcastle Utd,Premier League,30,1992,38,3111,82,91.0,34.6,35,87,27,3,17,0,1.87,64,30,34,0.98,0.69,66.2,35.2,31.0,0.9,0.48,Matches
506,Maxime Busi,BEL,DF,Reims,Ligue 1,22,1999,21,1043,50,30.5,11.6,11,79,4,10,18,9,0.95,13,18,-5,-0.43,-0.62,17.9,16.3,1.6,0.14,-0.14,Matches
507,Jakob Busk,DEN,GK,Union Berlin,Bundesliga,28,1993,0,0,0,0.0,0.0,0,0,0,0,0,5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
508,Sergio Busquets,ESP,MF,Barcelona,La Liga,34,1988,30,2339,78,68.4,26.0,28,81,17,2,30,4,2.43,41,11,30,1.15,-0.51,49.4,22.6,26.8,1.03,-0.25,Matches
509,Aurélio Buta,POR,DF,Eint Frankfurt,Bundesliga,25,1997,18,1318,73,43.1,14.6,15,83,7,3,26,1,1.11,19,21,-2,-0.14,-0.55,21.3,17.9,3.4,0.23,-0.04,Matches
510,Leonardo Buta,POR,DF,Udinese,Serie A,20,2002,2,16,8,0.5,0.2,0,0,0,2,8,17,0.0,0,1,-1,-5.63,-5.63,0.3,0.9,-0.6,-3.23,-3.12,Matches
511,Jack Butland,ENG,GK,Manchester Utd,Premier League,29,1993,0,0,0,0.0,0.0,0,0,0,0,0,12,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
512,Jack Butland,ENG,GK,Crystal Palace,Premier League,29,1993,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
513,Nathan Butler-Oyedeji,ENG,FW,Arsenal,Premier League,19,2003,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
514,Marcin Bułka,POL,GK,Nice,Ligue 1,22,1999,2,180,90,5.3,2.0,2,90,2,0,0,20,0.5,1,2,-1,-0.5,-0.83,2.6,2.3,0.2,0.11,-0.24,Matches
515,Jamie Bynoe-Gittens,ENG,"FW,MF",Dortmund,Bundesliga,17,2004,15,533,36,17.4,5.9,4,59,0,11,27,3,2.53,19,7,12,2.03,1.06,12.9,8.4,4.4,0.75,-0.09,Matches
516,Juan Cabal,COL,DF,Hellas Verona,Serie A,21,2001,11,444,40,13.0,4.9,3,73,1,8,28,25,0.42,3,11,-8,-1.62,-1.02,4.7,9.0,-4.3,-0.88,-0.58,Matches
517,Willy Caballero,ARG,GK,Southampton,Premier League,40,1981,0,0,0,0.0,0.0,0,0,0,0,0,11,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
518,Rémy Cabella,FRA,"MF,FW",Lille,Ligue 1,32,1990,32,2525,79,73.8,28.1,28,86,15,4,31,1,1.81,45,25,20,0.71,0.61,52.5,25.0,27.5,0.98,0.91,Matches
519,Jimmy Cabot,FRA,"DF,MF",Lens,Ligue 1,28,1994,11,511,46,14.9,5.7,5,81,3,6,17,0,2.18,8,6,2,0.35,-0.79,11.2,6.7,4.5,0.78,0.19,Matches
520,Leandro Cabrera,URU,DF,Espanyol,La Liga,31,1991,32,2669,83,78.0,29.7,31,86,27,1,1,2,1.03,40,54,-14,-0.47,-0.11,38.5,45.0,-6.5,-0.22,0.38,Matches
521,Liberato Cacace,NZL,DF,Empoli,Serie A,21,2000,12,587,49,17.2,6.5,5,86,4,7,22,26,0.5,6,9,-3,-0.46,-0.17,6.4,12.8,-6.4,-0.98,-0.57,Matches
522,Anthony Caci,FRA,DF,Mainz 05,Bundesliga,25,1997,31,2033,66,66.4,22.6,23,83,14,8,16,3,1.26,38,38,0,0.0,0.09,32.7,35.8,-3.1,-0.14,0.16,Matches
523,Cafú,POR,MF,Nott'ham Forest,Premier League,29,1993,1,7,7,0.2,0.1,0,0,0,1,7,1,3.0,0,0,0,0.0,0.79,0.0,0.2,-0.2,-2.58,-1.93,Matches
524,Federico Caia,ITA,FW,Hellas Verona,Serie A,19,2003,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
525,Moisés Caicedo,ECU,MF,Brighton,Premier League,20,2001,37,3139,85,91.8,34.9,34,89,30,3,35,0,1.68,62,47,15,0.43,-0.85,65.3,44.9,20.4,0.59,-0.28,Matches
526,Tom Cairney,SCO,MF,Fulham,Premier League,31,1991,33,988,30,28.9,11.0,6,78,0,27,19,0,1.36,18,13,5,0.46,0.57,16.0,20.1,-4.1,-0.38,0.12,Matches
527,Jens Cajuste,SWE,MF,Reims,Ligue 1,22,1999,31,1530,49,44.7,17.0,14,76,2,17,28,0,1.45,16,19,-3,-0.18,-0.32,26.5,24.9,1.6,0.1,-0.25,Matches
528,Cala,ESP,DF,Cádiz,La Liga,32,1989,3,137,46,4.0,1.5,1,72,0,2,33,9,0.67,0,3,-3,-1.97,-1.42,0.8,2.5,-1.7,-1.15,-0.65,Matches
529,Davide Calabria,ITA,DF,Milan,Serie A,25,1996,25,1690,68,49.4,18.8,21,78,10,4,15,3,1.72,35,25,10,0.53,-0.04,28.4,19.6,8.8,0.47,0.0,Matches
530,Mattia Caldara,ITA,DF,Spezia,Serie A,28,1994,20,1253,63,36.6,13.9,13,87,11,7,17,15,1.1,10,22,-12,-0.86,-0.07,12.2,27.5,-15.3,-1.1,-0.98,Matches
531,Luca Caldirola,ITA,DF,Monza,Serie A,31,1991,31,2353,76,68.8,26.1,27,83,17,4,31,4,1.65,36,32,4,0.15,0.83,32.1,33.7,-1.5,-0.06,0.26,Matches
532,Fernando Calero,ESP,"DF,MF",Espanyol,La Liga,26,1995,27,1611,60,47.1,17.9,20,73,7,7,23,9,1.07,21,29,-8,-0.45,0.0,21.8,25.7,-3.8,-0.21,0.17,Matches
533,Duje Ćaleta-Car,CRO,DF,Southampton,Premier League,25,1996,13,946,73,27.7,10.5,9,86,7,4,44,13,0.69,8,15,-7,-0.67,0.43,9.2,14.7,-5.6,-0.53,0.11,Matches
534,Duje Ćaleta-Car,CRO,DF,Marseille,Ligue 1,25,1996,1,8,8,0.2,0.1,0,0,0,1,8,3,3.0,0,0,0,0.0,-0.71,0.0,0.1,0.0,-0.25,-0.86,Matches
535,Hakan Çalhanoğlu,TUR,MF,Inter,Serie A,28,1994,33,2363,72,69.1,26.3,28,80,12,5,23,2,2.06,56,25,31,1.18,1.35,47.1,22.0,25.1,0.96,0.4,Matches
536,Kerim Calhanoglu,GER,DF,Schalke 04,Bundesliga,19,2002,3,63,21,2.1,0.7,0,0,0,3,21,1,0.33,0,2,-2,-2.86,-1.84,0.6,2.5,-1.8,-2.63,-2.15,Matches
537,Daniel Caligiuri,ITA,"DF,MF",Augsburg,Bundesliga,34,1988,13,290,22,9.5,3.2,2,74,1,11,13,20,0.85,2,10,-8,-2.48,-2.06,1.7,7.8,-6.1,-1.88,-1.3,Matches
538,Alexander Callens,PER,DF,Girona,La Liga,30,1992,6,120,20,3.5,1.3,0,0,0,6,20,7,1.83,1,0,1,0.75,0.7,1.2,2.1,-0.9,-0.66,-0.56,Matches
539,Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,25,1997,17,1165,69,34.1,12.9,15,75,4,2,20,0,0.82,12,22,-10,-0.77,-0.25,16.2,22.7,-6.4,-0.49,0.07,Matches
540,Dawda Camara,MTN,FW,Girona,La Liga,19,2002,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
541,Mahdi Camara,FRA,MF,Brest,Ligue 1,24,1998,31,1820,59,53.2,20.2,20,75,4,11,28,2,1.13,21,28,-7,-0.35,-0.18,24.8,29.4,-4.6,-0.23,0.23,Matches
542,Mohamed Camara,GUI,MF,Roma,Serie A,25,1997,15,696,46,20.4,7.7,8,76,1,7,13,18,1.33,5,10,-5,-0.65,-1.21,8.2,6.3,1.9,0.25,-0.53,Matches
543,Mohamed Camara,MLI,MF,Monaco,Ligue 1,22,2000,29,2194,76,64.2,24.4,25,82,16,4,36,1,1.79,50,40,10,0.41,0.26,39.8,33.6,6.2,0.25,0.06,Matches
544,Ousmane Camara,GUI,"FW,MF",Auxerre,Ligue 1,20,2001,3,24,8,0.7,0.3,0,0,0,3,8,1,0.0,0,0,0,0.0,0.74,1.2,0.0,1.1,4.09,4.55,Matches
545,Ousmane Camara,FRA,DF,Angers,Ligue 1,19,2003,9,521,58,15.2,5.8,6,73,3,3,28,15,0.0,5,20,-15,-2.59,-1.57,7.5,11.7,-4.2,-0.73,-0.22,Matches
546,Ousoumane Camara,FRA,MF,Auxerre,Ligue 1,23,1998,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
547,Eduardo Camavinga,FRA,"MF,DF",Real Madrid,La Liga,19,2002,37,2010,54,58.8,22.3,21,78,11,16,23,0,2.11,51,16,35,1.57,1.31,47.6,20.8,26.8,1.2,0.58,Matches
548,Nicolò Cambiaghi,ITA,"FW,MF",Empoli,Serie A,21,2000,28,1285,46,37.6,14.3,12,74,2,16,25,3,1.32,20,12,8,0.56,1.4,17.5,19.7,-2.2,-0.15,0.58,Matches
549,Andrea Cambiaso,ITA,DF,Bologna,Serie A,22,2000,32,2170,68,63.5,24.1,25,81,17,7,19,2,1.38,30,28,2,0.08,-0.06,28.3,29.3,-1.0,-0.04,0.24,Matches
550,Axel Camblan,FRA,"FW,MF",Brest,Ligue 1,18,2003,7,68,10,2.0,0.8,0,0,0,7,10,9,0.86,1,0,1,1.32,1.62,0.7,1.0,-0.3,-0.4,-0.06,Matches
551,Sergio Camello,ESP,FW,Rayo Vallecano,La Liga,21,2001,38,2401,63,70.2,26.7,27,78,4,11,26,0,1.29,36,38,-2,-0.07,0.45,31.7,36.2,-4.5,-0.17,-0.03,Matches
552,Chem Campbell,WAL,"FW,MF",Wolves,Premier League,19,2002,5,74,15,2.2,0.8,0,0,0,5,15,9,0.0,0,2,-2,-2.43,-1.76,0.2,1.0,-0.8,-1.01,-0.42,Matches
553,Emre Can,GER,MF,Dortmund,Bundesliga,28,1994,27,1900,70,62.1,21.1,20,87,17,7,24,5,1.96,55,30,25,1.18,0.1,46.4,26.9,19.5,0.93,0.28,Matches
554,Sergio Canales,ESP,"FW,MF",Betis,La Liga,31,1991,31,2402,77,70.2,26.7,28,82,14,3,40,0,1.52,31,28,3,0.11,-0.06,33.1,34.8,-1.6,-0.06,-0.36,Matches
555,Matteo Cancellieri,ITA,FW,Lazio,Serie A,20,2002,20,256,13,7.5,2.8,1,45,0,19,11,18,1.85,6,2,4,1.41,0.67,5.9,3.3,2.6,0.91,0.71,Matches
556,João Cancelo,POR,DF,Manchester City,Premier League,28,1994,17,1274,75,37.3,14.2,16,78,10,1,23,3,2.24,36,15,21,1.48,-0.19,24.8,11.3,13.4,0.95,-0.44,Matches
557,João Cancelo,POR,"DF,FW",Bayern Munich,Bundesliga,28,1994,15,1012,67,33.1,11.2,11,80,5,4,32,1,2.07,28,16,12,1.07,-0.78,23.1,15.0,8.1,0.72,-0.59,Matches
558,Pietro Candelari,ITA,MF,Spezia,Serie A,17,2005,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
559,Antonio Candreva,ITA,"MF,DF",Salernitana,Serie A,35,1987,35,2726,78,79.7,30.3,32,83,18,3,21,0,1.17,41,46,-5,-0.17,1.0,30.3,50.1,-19.8,-0.65,0.73,Matches
560,Lucas Cañizares,ESP,GK,Real Madrid,La Liga,20,2002,0,0,0,0.0,0.0,0,0,0,0,0,6,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
561,Adrian Cannavaro,ITA,DF,Sassuolo,Serie A,18,2004,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
562,Thomas Cannon,IRL,FW,Everton,Premier League,19,2002,2,25,13,0.7,0.3,0,0,0,2,13,0,0.0,0,1,-1,-3.6,-3.02,0.8,0.4,0.4,1.28,1.84,Matches
563,Sergi Canós,ESP,"FW,DF",Brentford,Premier League,25,1997,5,77,15,2.3,0.9,0,0,0,5,15,7,1.6,0,2,-2,-2.34,-2.71,0.8,1.7,-1.0,-1.13,-1.35,Matches
564,Ander Capa,ESP,DF,Athletic Club,La Liga,30,1992,7,109,16,3.2,1.2,1,61,0,6,8,27,1.43,2,0,2,1.65,1.6,2.3,1.2,1.1,0.91,0.47,Matches
565,Pierrick Capelle,FRA,"MF,DF",Angers,Ligue 1,35,1987,26,1428,55,41.8,15.9,15,79,8,11,22,3,0.58,8,26,-18,-1.13,0.22,14.6,24.0,-9.4,-0.59,-0.08,Matches
566,Leonardo Capezzi,ITA,MF,Salernitana,Serie A,27,1995,0,0,0,0.0,0.0,0,0,0,0,0,19,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
567,Étienne Capoue,FRA,MF,Villarreal,La Liga,34,1988,28,1955,70,57.2,21.7,22,82,12,6,25,1,1.5,33,26,7,0.32,-0.41,35.1,27.0,8.1,0.37,0.18,Matches
568,Elio Capradossi,ITA,DF,Spezia,Serie A,26,1996,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
569,Gianluca Caprari,ITA,"MF,FW",Monza,Serie A,29,1993,37,2441,66,71.4,27.1,32,71,5,5,32,0,1.38,33,42,-9,-0.33,-0.79,31.0,35.1,-4.1,-0.15,-0.03,Matches
570,Francesco Caputo,ITA,FW,Sampdoria,Serie A,34,1987,15,1094,73,32.0,12.2,13,78,6,2,40,0,0.4,6,20,-14,-1.15,0.13,9.0,17.4,-8.4,-0.69,0.23,Matches
