Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCAPL,SCAPD,SCATO,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPL,GCAPD,GCATO,GCASh,GCAFld,GCADef
567,Lorenzo Colombo,ITA,FW,Lecce,Serie A,20,2002,16.8,43,2.55952381,29,0,4,8,2,0,2,0.119047619,1,0,0,1,0,0
568,Andrea Colpani,ITA,MF,Monza,Serie A,23,1999,10.5,38,3.619047619,23,5,3,4,3,0,2,0.19047619,1,0,0,0,1,0
569,Levi Colwill,ENG,DF,Brighton,Premier League,19,2003,13.6,18,1.323529412,16,1,0,1,0,0,2,0.147058824,2,0,0,0,0,0
570,Kingsley Coman,FRA,"FW,MF",Bayern Munich,Bundesliga,26,1996,15.7,85,5.414012739,67,1,9,4,4,0,11,0.700636943,7,0,1,1,2,0
571,Eray Cömert,SUI,DF,Valencia,La Liga,24,1998,18.6,12,0.64516129,8,0,1,1,2,0,0,0,0,0,0,0,0,0
572,Santi Comesaña,ESP,MF,Rayo Vallecano,La Liga,25,1996,27.2,87,3.198529412,73,1,6,2,2,3,5,0.183823529,4,0,1,0,0,0
573,Andrea Consigli,ITA,GK,Sassuolo,Serie A,35,1987,35,6,0.171428571,5,1,0,0,0,0,0,0,0,0,0,0,0,0
574,Abdu Conté,POR,DF,Troyes,Ligue 1,24,1998,14.6,24,1.643835616,20,2,0,0,2,0,2,0.136986301,2,0,0,0,0,0
575,Andrea Conti,ITA,DF,Sampdoria,Serie A,28,1994,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,Lewis Cook,ENG,MF,Bournemouth,Premier League,25,1997,19.1,39,2.041884817,27,8,0,0,1,3,4,0.209424084,2,1,0,0,0,1
577,Steve Cook,ENG,DF,Nott'ham Forest,Premier League,31,1991,10.6,6,0.566037736,6,0,0,0,0,0,0,0,0,0,0,0,0,0
578,Liam Cooper,SCO,DF,Leeds United,Premier League,30,1991,15.8,16,1.012658228,13,1,0,2,0,0,3,0.189873418,3,0,0,0,0,0
579,Copete,ESP,DF,Mallorca,La Liga,22,1999,24.5,16,0.653061224,15,0,0,0,1,0,0,0,0,0,0,0,0,0
580,Diego Coppola,ITA,DF,Hellas Verona,Serie A,18,2003,13.1,9,0.687022901,6,2,0,0,0,1,0,0,0,0,0,0,0,0
581,Francis Coquelin,FRA,MF,Villarreal,La Liga,31,1991,8.3,9,1.084337349,8,0,0,0,0,1,0,0,0,0,0,0,0,0
582,Sébastien Corchia,FRA,DF,Nantes,Ligue 1,31,1990,8.7,15,1.724137931,11,2,1,0,0,1,4,0.459770115,4,0,0,0,0,0
583,Alex Cordaz,ITA,GK,Inter,Serie A,39,1983,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,Maxwel Cornet,CIV,FW,West Ham,Premier League,25,1996,2.7,6,2.222222222,4,0,1,0,0,1,0,0,0,0,0,0,0,0
585,Jesús Corona,MEX,FW,Sevilla,La Liga,29,1993,1.2,5,4.166666667,4,0,1,0,0,0,1,0.833333333,0,0,1,0,0,0
586,Ángel Correa,ARG,"FW,MF",Atlético Madrid,La Liga,27,1995,16.2,61,3.765432099,45,3,5,6,1,1,11,0.679012346,5,0,2,3,0,1
587,Joaquín Correa,ARG,FW,Inter,Serie A,27,1994,10.6,37,3.490566038,27,0,3,5,2,0,3,0.283018868,3,0,0,0,0,0
588,Thierry Correia,POR,DF,Valencia,La Liga,23,1999,22.3,43,1.928251121,29,2,1,0,10,1,2,0.089686099,2,0,0,0,0,0
589,Alessandro Cortinovis,ITA,MF,Hellas Verona,Serie A,21,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,Danny da Costa,GER,DF,Mainz 05,Bundesliga,29,1993,13.7,32,2.335766423,23,5,1,2,0,1,4,0.291970803,2,1,0,0,0,1
591,David Pereira da Costa,POR,"MF,FW",Lens,Ligue 1,21,2001,15.6,63,4.038461538,51,1,6,3,1,1,7,0.448717949,6,0,1,0,0,0
592,Diego Costa,ESP,FW,Wolves,Premier League,33,1988,13.8,23,1.666666667,15,0,3,3,2,0,1,0.072463768,1,0,0,0,0,0
593,Jaume Costa,ESP,DF,Mallorca,La Liga,34,1988,28.9,58,2.006920415,44,5,1,1,5,2,4,0.138408304,3,1,0,0,0,0
594,Logan Costa,CPV,DF,Toulouse,Ligue 1,21,2001,4.6,7,1.52173913,5,0,0,2,0,0,0,0,0,0,0,0,0,0
595,Nuno da Costa,CPV,"FW,MF",Auxerre,Ligue 1,31,1991,22.3,52,2.331838565,35,0,7,4,5,1,5,0.224215247,4,0,1,0,0,0
596,Samu Costa,POR,MF,Almería,La Liga,21,2000,22.1,47,2.126696833,37,1,1,2,3,3,3,0.135746606,3,0,0,0,0,0
597,Benoît Costil,FRA,GK,Auxerre,Ligue 1,35,1987,19,4,0.210526316,2,2,0,0,0,0,0,0,0,0,0,0,0,0
598,Vladimír Coufal,CZE,DF,West Ham,Premier League,29,1992,23.7,52,2.194092827,36,13,0,1,2,0,3,0.126582278,2,1,0,0,0,0
599,Lassana Coulibaly,MLI,MF,Salernitana,Serie A,26,1996,32.1,56,1.744548287,51,1,1,0,3,0,10,0.31152648,10,0,0,0,0,0
600,Soumaïla Coulibaly,FRA,DF,Dortmund,Bundesliga,18,2003,0.5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
601,Tanguy Coulibaly,FRA,"FW,DF",Stuttgart,Bundesliga,21,2001,3.6,13,3.611111111,8,1,4,0,0,0,1,0.277777778,0,0,1,0,0,0
602,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,30,1992,31,5,0.161290323,2,3,0,0,0,0,0,0,0,0,0,0,0,0
603,Mathieu Coutadeur,FRA,MF,Ajaccio,Ligue 1,36,1986,21.6,26,1.203703704,24,1,1,0,0,0,1,0.046296296,1,0,0,0,0,0
604,Philippe Coutinho,BRA,"MF,FW",Aston Villa,Premier League,30,1992,8.8,24,2.727272727,19,1,3,1,0,0,0,0,0,0,0,0,0,0
605,Yan Couto,BRA,"DF,MF",Girona,La Liga,20,2002,12.9,45,3.488372093,35,2,4,1,2,1,4,0.310077519,3,1,0,0,0,0
606,Conor Coventry,IRL,"MF,FW",West Ham,Premier League,22,2000,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
607,Nicolas Cozza,FRA,DF,"Montpellier,Wolfsburg","Ligue 1,Bundesliga",23,1999,15.3,19,1.241830065,16,0,1,1,1,0,2,0.130718954,2,0,0,0,0,0
609,Alessio Cragno,ITA,GK,Monza,Serie A,28,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,Matthew Craig,SCO,MF,Tottenham,Premier League,19,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,Aaron Cresswell,ENG,DF,West Ham,Premier League,32,1989,24.8,73,2.943548387,43,27,0,2,1,0,1,0.040322581,0,1,0,0,0,0
612,Bryan Cristante,ITA,"MF,DF",Roma,Serie A,27,1995,32.6,42,1.288343558,37,0,0,5,0,0,7,0.214723926,5,0,0,2,0,0
613,Domen Črnigoj,SVN,MF,Salernitana,Serie A,26,1995,3.3,6,1.818181818,4,0,0,1,0,1,0,0,0,0,0,0,0,0
614,Juan Cruz Armada,ESP,DF,Osasuna,La Liga,30,1992,22.9,39,1.703056769,31,6,0,1,0,1,3,0.131004367,2,1,0,0,0,0
615,Juan Cruz,ESP,FW,Betis,La Liga,22,2000,2,3,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
616,Juan Cuadrado,COL,"DF,FW",Juventus,Serie A,34,1988,23.1,78,3.376623377,43,20,5,3,7,0,6,0.25974026,2,2,0,0,2,0
617,Marc Cucurella,ESP,DF,Chelsea,Premier League,24,1998,18.6,27,1.451612903,21,6,0,0,0,0,3,0.161290323,2,1,0,0,0,0
618,Jorge Cuenca,ESP,DF,Villarreal,La Liga,22,1999,5.6,5,0.892857143,4,0,0,1,0,0,0,0,0,0,0,0,0,0
619,Braian Cufré,ARG,DF,Mallorca,La Liga,25,1996,2.4,3,1.25,2,0,0,0,1,0,0,0,0,0,0,0,0,0
620,Mickaël Cuisance,FRA,MF,Sampdoria,Serie A,22,1999,6.9,12,1.739130435,8,1,2,0,1,0,0,0,0,0,0,0,0,0
621,Matheus Cunha,BRA,FW,"Wolves,Atlético Madrid","Premier League,La Liga",23,1999,14.9,31,2.080536913,24,1,1,3,2,0,2,0.134228188,2,0,0,0,0,0
623,Curro,ESP,MF,Almería,La Liga,26,1996,0.5,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
624,Marco D'Alessandro,ITA,"DF,FW",Monza,Serie A,31,1991,3.2,8,2.5,7,0,0,0,1,0,1,0.3125,1,0,0,0,0,0
625,Danilo D'Ambrosio,ITA,DF,Inter,Serie A,33,1988,8.1,17,2.098765432,14,0,1,1,1,0,2,0.24691358,2,0,0,0,0,0
626,Luca D'Andrea,ITA,FW,Sassuolo,Serie A,17,2004,3.5,16,4.571428571,12,1,2,1,0,0,1,0.285714286,1,0,0,0,0,0
627,Damien Da Silva,FRA,DF,Lyon,Ligue 1,34,1988,3.8,1,0.263157895,1,0,0,0,0,0,0,0,0,0,0,0,0,0
628,Moanes Dabbur,ISR,FW,Hoffenheim,Bundesliga,30,1992,10.4,38,3.653846154,30,0,3,3,1,1,6,0.576923077,4,0,2,0,0,0
629,Andréa Dacourt,FRA,MF,Nice,Ligue 1,17,2005,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
630,Colin Dagba,FRA,"DF,MF",Strasbourg,Ligue 1,23,1998,10.6,23,2.169811321,19,2,1,0,1,0,2,0.188679245,2,0,0,0,0,0
631,Finn Dahmen,GER,GK,Mainz 05,Bundesliga,24,1998,8,3,0.375,3,0,0,0,0,0,0,0,0,0,0,0,0,0
632,Mahmoud Dahoud,GER,MF,Dortmund,Bundesliga,26,1996,3.7,6,1.621621622,5,0,0,1,0,0,1,0.27027027,0,0,0,1,0,0
633,Patson Daka,ZAM,FW,Leicester City,Premier League,23,1998,13.2,28,2.121212121,19,1,1,5,2,0,7,0.53030303,4,0,1,2,0,0
634,Thijs Dallinga,NED,FW,Toulouse,Ligue 1,21,2000,26.1,42,1.609195402,33,0,1,7,1,0,4,0.153256705,3,0,0,1,0,0
635,Diogo Dalot,POR,DF,Manchester Utd,Premier League,23,1999,23.9,52,2.175732218,48,0,1,2,0,1,2,0.083682008,2,0,0,0,0,0
636,Muhammed Damar,GER,MF,Hoffenheim,Bundesliga,18,2004,1.8,5,2.777777778,5,0,0,0,0,0,1,0.555555556,1,0,0,0,0,0
637,Mikkel Damsgaard,DEN,"MF,FW",Brentford,Premier League,22,2000,11,25,2.272727273,20,3,0,1,1,0,2,0.181818182,2,0,0,0,0,0
638,Flavius Daniliuc,AUT,DF,"Salernitana,Nice","Serie A,Ligue 1",21,2001,25.4,19,0.748031496,16,1,0,2,0,0,0,0,0,0,0,0,0,0
640,Danilo,BRA,MF,Nott'ham Forest,Premier League,21,2001,10.8,23,2.12962963,17,1,3,1,1,0,6,0.555555556,5,0,1,0,0,0
641,Danilo,BRA,DF,Juventus,Serie A,31,1991,35.4,62,1.751412429,54,1,0,5,2,0,4,0.11299435,3,0,0,1,0,0
642,Arnaut Danjuma,NED,"FW,MF","Tottenham,Villarreal","Premier League,La Liga",25,1997,7.2,17,2.361111111,11,0,1,1,3,1,0,0,0,0,0,0,0,0
644,Kévin Danois,FRA,MF,Auxerre,Ligue 1,18,2004,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
645,Kevin Danso,AUT,DF,Lens,Ligue 1,23,1998,35.9,41,1.142061281,38,0,1,0,2,0,5,0.139275766,4,0,0,0,1,0
646,Dante,BRA,DF,Nice,Ligue 1,38,1983,36.7,34,0.926430518,30,0,0,3,0,1,3,0.081743869,3,0,0,0,0,0
647,Márton Dárdai,GER,"DF,MF",Hertha BSC,Bundesliga,20,2002,10.5,10,0.952380952,9,0,0,0,1,0,1,0.095238095,1,0,0,0,0,0
648,Sergi Darder,ESP,MF,Espanyol,La Liga,28,1993,36.9,150,4.06504065,98,35,8,4,4,1,11,0.298102981,9,1,0,1,0,0
649,Achraf Dari,MAR,DF,Brest,Ligue 1,23,1999,14.6,7,0.479452055,3,2,0,0,1,1,2,0.136986301,1,0,0,0,1,0
650,Vladimír Darida,CZE,MF,Hertha BSC,Bundesliga,31,1990,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651,Matteo Darmian,ITA,DF,Inter,Serie A,32,1989,22.5,39,1.733333333,33,4,0,0,1,1,4,0.177777778,3,0,0,0,1,0
652,Josh Dasilva,ENG,MF,Brentford,Premier League,23,1998,15.4,42,2.727272727,36,1,3,1,1,0,7,0.454545455,5,0,1,0,1,0
653,David Datro Fofana,CIV,FW,Chelsea,Premier League,19,2002,0.8,6,7.5,2,0,4,0,0,0,0,0,0,0,0,0,0,0
654,Jonathan David,CAN,FW,Lille,Ligue 1,22,2000,35.2,116,3.295454545,84,0,6,13,11,2,13,0.369318182,9,0,0,2,2,0
655,Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,21,2000,22.7,88,3.876651982,76,0,9,1,1,1,8,0.352422907,7,0,1,0,0,0
656,Ben Davies,WAL,DF,Tottenham,Premier League,29,1993,25.4,37,1.456692913,33,1,0,3,0,0,7,0.275590551,5,0,0,2,0,0
657,Tom Davies,ENG,MF,Everton,Premier League,24,1998,6,6,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0
658,Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,27,1995,18.1,16,0.883977901,13,1,0,1,0,1,1,0.055248619,0,0,0,1,0,0
659,Craig Dawson,ENG,DF,"West Ham,Wolves",Premier League,32,1990,23.7,18,0.759493671,16,0,0,1,1,0,1,0.042194093,0,0,0,0,1,0
661,Kevin De Bruyne,BEL,MF,Manchester City,Premier League,31,1991,26.9,176,6.542750929,120,33,8,7,5,3,31,1.152416357,24,3,1,1,2,0
662,Charles De Ketelaere,BEL,"MF,FW",Milan,Serie A,21,2001,12.4,47,3.790322581,39,2,4,0,2,0,2,0.161290323,2,0,0,0,0,0
663,Manuel De Luca,ITA,"FW,MF",Sampdoria,Serie A,24,1998,0.5,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
664,Tommaso De Nipoti,ITA,MF,Atalanta,Serie A,19,2003,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
665,Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,28,1994,21.4,88,4.112149533,77,7,1,0,3,0,11,0.514018692,10,0,0,0,1,0
666,Mattia De Sciglio,ITA,DF,Juventus,Serie A,29,1992,11.6,15,1.293103448,14,0,0,0,1,0,1,0.086206897,1,0,0,0,0,0
667,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,34,1988,7.5,11,1.466666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0
668,Thibault De Smet,BEL,DF,Reims,Ligue 1,24,1998,19.5,29,1.487179487,25,3,0,0,0,1,1,0.051282051,1,0,0,0,0,0
669,Koni De Winter,BEL,DF,Empoli,Serie A,20,2002,11.4,5,0.438596491,5,0,0,0,0,0,0,0,0,0,0,0,0,0
670,Grégoire Defrel,MTQ,FW,Sassuolo,Serie A,31,1991,13,16,1.230769231,14,0,0,1,1,0,1,0.076923077,1,0,0,0,0,0
671,Duccio Degl'Innocenti,ITA,MF,Empoli,Serie A,19,2003,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
672,Brecht Dejaegere,BEL,MF,Toulouse,Ligue 1,31,1991,20.1,48,2.388059701,40,0,4,2,2,0,6,0.298507463,4,0,1,1,0,0
673,Romain Del Castillo,FRA,"MF,FW",Brest,Ligue 1,26,1996,15.8,68,4.303797468,40,18,3,3,2,2,13,0.82278481,8,3,1,0,1,0
674,Alberto Del Moral,ESP,MF,Villarreal,La Liga,22,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,Thomas Delaine,FRA,"DF,MF",Strasbourg,Ligue 1,30,1992,11.9,23,1.932773109,19,0,2,0,0,2,4,0.336134454,4,0,0,0,0,0
676,Thomas Delaney,DEN,MF,"Sevilla,Hoffenheim","La Liga,Bundesliga",30,1991,6.7,7,1.044776119,5,0,0,0,1,0,0,0,0,0,0,0,0,0
678,Sacha Delaye,FRA,"FW,MF",Montpellier,Ligue 1,20,2002,0.2,2,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0
679,Fran Delgado,ESP,DF,Betis,La Liga,21,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,Andy Delort,ALG,FW,"Nice,Nantes",Ligue 1,30,1991,13.9,33,2.374100719,29,0,0,3,1,0,2,0.143884892,2,0,0,0,0,0
682,Karamoko Dembele,SCO,"FW,MF",Brest,Ligue 1,19,2003,2,8,4,5,2,0,0,1,0,0,0,0,0,0,0,0,0
683,Moussa Dembélé,FRA,"FW,MF",Lyon,Ligue 1,26,1996,9.7,14,1.443298969,12,0,1,0,0,1,2,0.206185567,2,0,0,0,0,0
684,Ousmane Dembélé,FRA,FW,Barcelona,La Liga,25,1997,15.7,86,5.477707006,52,13,15,3,3,0,12,0.76433121,9,0,2,1,0,0
685,Siriki Dembélé,CIV,"FW,MF","Bournemouth,Auxerre","Premier League,Ligue 1",25,1996,5.3,26,4.905660377,18,0,8,0,0,0,0,0,0,0,0,0,0,0
687,Merih Demiral,TUR,DF,Atalanta,Serie A,24,1998,17.1,4,0.233918129,4,0,0,0,0,0,0,0,0,0,0,0,0,0
688,Kerem Demirbay,GER,MF,Leverkusen,Bundesliga,29,1993,17.2,51,2.965116279,25,21,2,2,1,0,6,0.348837209,3,3,0,0,0,0
689,Ermedin Demirović,BIH,"FW,MF",Augsburg,Bundesliga,24,1998,26.3,57,2.16730038,43,0,4,5,3,2,8,0.30418251,4,0,0,2,1,1
690,Diego Demme,GER,MF,Napoli,Serie A,30,1991,1.6,3,1.875,3,0,0,0,0,0,1,0.625,1,0,0,0,0,0
691,Sepp van den Berg,NED,DF,Schalke 04,Bundesliga,20,2001,7.7,3,0.38961039,2,1,0,0,0,0,0,0,0,0,0,0,0,0
692,Branco van den Boomen,NED,MF,Toulouse,Ligue 1,27,1995,32.1,154,4.797507788,85,57,0,9,3,0,22,0.685358255,16,3,0,3,0,0
693,Leander Dendoncker,BEL,MF,"Aston Villa,Wolves",Premier League,27,1995,10.1,12,1.188118812,9,0,0,1,0,1,0,0,0,0,0,0,0,0
695,Emmanuel Dennis,NGA,"FW,MF",Nott'ham Forest,Premier League,24,1997,8,25,3.125,14,1,2,2,6,0,3,0.375,2,0,0,0,1,0
696,Fabio Depaoli,ITA,DF,"Hellas Verona,Sampdoria",Serie A,25,1997,25.6,49,1.9140625,32,9,1,0,6,1,4,0.15625,3,1,0,0,0,0
698,Kastriot Dermaku,ALB,DF,Lecce,Serie A,30,1992,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,Halil Dervişoğlu,TUR,MF,Brentford,Premier League,22,1999,0.1,1,10,0,0,0,1,0,0,1,10,0,0,0,1,0,0
700,Rémy Descamps,FRA,GK,Nantes,Ligue 1,26,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,Mikkel Desler,DEN,DF,Toulouse,Ligue 1,27,1995,25.1,49,1.952191235,42,1,2,3,1,0,5,0.199203187,5,0,0,0,0,0
702,Cyriel Dessers,NGA,FW,Cremonese,Serie A,27,1994,17.6,44,2.5,28,2,5,5,3,1,2,0.113636364,1,0,1,0,0,0
703,Sergiño Dest,USA,DF,Milan,Serie A,21,2000,3.7,11,2.972972973,8,2,1,0,0,0,1,0.27027027,1,0,0,0,0,0
704,Mattia Destro,ITA,"FW,MF",Empoli,Serie A,31,1991,6.4,11,1.71875,5,0,3,1,2,0,1,0.15625,1,0,0,0,0,0
705,Gerard Deulofeu,ESP,FW,Udinese,Serie A,28,1994,13.5,82,6.074074074,54,14,6,5,3,0,9,0.666666667,7,2,0,0,0,0
706,Kiernan Dewsbury-Hall,ENG,MF,Leicester City,Premier League,23,1998,25.6,78,3.046875,61,0,8,2,5,2,9,0.3515625,6,0,1,0,1,1
707,Samuel Di Carmine,ITA,"FW,MF",Cremonese,Serie A,33,1988,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708,Federico Di Francesco,ITA,"FW,MF",Lecce,Serie A,28,1994,22.6,49,2.168141593,29,5,5,2,6,2,5,0.221238938,2,1,1,1,0,0
709,Michele Di Gregorio,ITA,GK,Monza,Serie A,25,1997,37,3,0.081081081,3,0,0,0,0,0,1,0.027027027,1,0,0,0,0,0
710,Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,28,1993,36.2,111,3.066298343,93,5,1,6,3,3,13,0.359116022,13,0,0,0,0,0
711,Ángel Di María,ARG,"FW,MF",Juventus,Serie A,34,1988,15.1,83,5.496688742,45,24,6,6,1,1,7,0.463576159,5,2,0,0,0,0
712,Boulaye Dia,SEN,"FW,MF",Salernitana,Serie A,25,1996,28,64,2.285714286,53,0,3,5,3,0,9,0.321428571,8,0,1,0,0,0
713,Moussa Diaby,FRA,"FW,MF",Leverkusen,Bundesliga,23,1999,30,110,3.666666667,74,5,14,14,3,0,16,0.533333333,10,0,4,0,2,0
714,Mouctar Diakhaby,GUI,DF,Valencia,La Liga,25,1996,27.2,15,0.551470588,13,0,0,2,0,0,1,0.036764706,1,0,0,0,0,0
715,Mamadou Diakhon,FRA,FW,Reims,Ligue 1,16,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716,Bafodé Diakité,FRA,DF,Lille,Ligue 1,21,2001,29.5,36,1.220338983,28,2,1,3,1,1,0,0,0,0,0,0,0,0
717,Ibrahim Diakité,GUI,DF,Reims,Ligue 1,18,2003,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,Abdou Diallo,SEN,"DF,MF",RB Leipzig,Bundesliga,26,1996,5.3,5,0.943396226,5,0,0,0,0,0,0,0,0,0,0,0,0,0
719,Baila Diallo,FRA,"DF,MF",Clermont Foot,Ligue 1,21,2001,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
720,Habib Diallo,SEN,FW,Strasbourg,Ligue 1,27,1995,32,63,1.96875,39,0,7,10,7,0,6,0.1875,3,0,1,2,0,0
721,Ibrahima Diallo,FRA,MF,Southampton,Premier League,23,1999,9.1,10,1.098901099,8,0,1,0,0,1,0,0,0,0,0,0,0,0
722,Ismael Diallo,CIV,DF,Ajaccio,Ligue 1,25,1997,24.2,17,0.702479339,11,4,0,1,1,0,0,0,0,0,0,0,0,0
723,Mamady Diarra,MLI,"MF,DF",Cádiz,La Liga,22,2000,0.7,1,1.428571429,0,0,0,1,0,0,0,0,0,0,0,0,0,0
724,Mouhamadou Diarra,FRA,"MF,FW",Strasbourg,Ligue 1,18,2004,18.1,59,3.259668508,42,0,7,4,6,0,7,0.386740331,4,0,1,0,2,0
725,Moussa Diarra,MLI,DF,Toulouse,Ligue 1,21,2000,13.6,16,1.176470588,15,0,0,0,1,0,3,0.220588235,3,0,0,0,0,0
726,Stéphane Diarra,FRA,"FW,MF",Lorient,Ligue 1,23,1998,11.8,35,2.966101695,20,2,5,2,5,1,5,0.423728814,1,0,2,0,1,1
727,Youba Diarra,MLI,MF,Cádiz,La Liga,24,1998,1.1,3,2.727272727,3,0,0,0,0,0,0,0,0,0,0,0,0,0
728,Rúben Dias,POR,DF,Manchester City,Premier League,25,1997,22.2,15,0.675675676,11,1,0,3,0,0,1,0.045045045,1,0,0,0,0,0
729,Krépin Diatta,SEN,"MF,FW",Monaco,Ligue 1,23,1999,23,68,2.956521739,44,1,8,7,5,3,7,0.304347826,2,0,0,1,3,1
730,Mory Diaw,SEN,GK,Clermont Foot,Ligue 1,29,1993,37,7,0.189189189,6,1,0,0,0,0,0,0,0,0,0,0,0,0
731,Brahim Díaz,ESP,"MF,FW",Milan,Serie A,22,1999,21.4,96,4.485981308,69,1,12,6,7,1,18,0.841121495,8,0,6,2,1,1
732,Luis Díaz,COL,FW,Liverpool,Premier League,25,1997,11.1,41,3.693693694,29,0,7,3,2,0,6,0.540540541,3,0,2,1,0,0
733,Justin Diehl,GER,"MF,FW",Köln,Bundesliga,17,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734,Bamba Dieng,SEN,"FW,MF","Marseille,Lorient",Ligue 1,22,2000,10.5,18,1.714285714,10,0,0,3,3,1,3,0.285714286,0,0,0,2,1,0
736,Eric Dier,ENG,DF,Tottenham,Premier League,28,1994,31.3,29,0.926517572,24,1,0,4,0,0,2,0.063897764,1,0,0,1,0,0
737,Florian Dietz,GER,FW,Köln,Bundesliga,23,1998,4.4,6,1.363636364,3,1,1,1,0,0,0,0,0,0,0,0,0,0
738,Lucas Digne,FRA,DF,Aston Villa,Premier League,29,1993,16.7,29,1.736526946,24,4,0,0,1,0,0,0,0,0,0,0,0,0
739,Federico Dimarco,ITA,DF,Inter,Serie A,24,1997,23,103,4.47826087,64,29,1,5,3,1,8,0.347826087,6,0,1,1,0,0
740,Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,28,1993,36.9,4,0.108401084,2,2,0,0,0,0,0,0,0,0,0,0,0,0
741,Junior Dina Ebimbe,FRA,"DF,MF",Eint Frankfurt,Bundesliga,21,2000,11.8,17,1.440677966,12,1,1,3,0,0,1,0.084745763,1,0,0,0,0,0
742,Tristan Dingomé,CMR,MF,Troyes,Ligue 1,31,1991,1.1,8,7.272727273,6,1,1,0,0,0,0,0,0,0,0,0,0,0
743,Eren Dinkçi,GER,"FW,MF",Werder Bremen,Bundesliga,20,2001,2.6,8,3.076923077,5,0,2,1,0,0,1,0.384615385,1,0,0,0,0,0
744,Sinaly Diomande,CIV,DF,Lyon,Ligue 1,21,2001,21.7,13,0.599078341,9,1,1,1,0,1,1,0.046082949,0,1,0,0,0,0
745,Lois Diony,FRA,FW,Angers,Ligue 1,29,1992,5.6,11,1.964285714,7,0,2,1,1,0,0,0,0,0,0,0,0,0
746,Edan Diop,FRA,"DF,FW",Monaco,Ligue 1,17,2004,2.5,7,2.8,7,0,0,0,0,0,0,0,0,0,0,0,0,0
747,Issa Diop,FRA,DF,Fulham,Premier League,25,1997,22.4,9,0.401785714,9,0,0,0,0,0,0,0,0,0,0,0,0,0
748,Sofiane Diop,FRA,"MF,FW","Nice,Monaco",Ligue 1,22,2000,14.3,64,4.475524476,41,10,6,3,2,2,10,0.699300699,6,1,0,2,0,0
750,Yehvann Diouf,FRA,GK,Reims,Ligue 1,22,1999,31,4,0.129032258,2,2,0,0,0,0,1,0.032258065,1,0,0,0,0,0
751,Axel Disasi,FRA,DF,Monaco,Ligue 1,24,1998,37,26,0.702702703,22,1,0,2,0,1,6,0.162162162,5,0,0,1,0,0
752,Tiago Djaló,POR,DF,Lille,Ligue 1,22,2000,22.4,10,0.446428571,8,0,0,1,1,0,3,0.133928571,2,0,0,0,1,0
753,Djené,TOG,DF,Getafe,La Liga,30,1991,31.6,31,0.981012658,23,2,2,1,3,0,7,0.221518987,7,0,0,0,0,0
754,Moussa Djenepo,MLI,"DF,FW",Southampton,Premier League,24,1998,7.9,17,2.151898734,12,0,2,1,2,0,4,0.506329114,2,0,2,0,0,0
755,Koffi Djidji,CIV,DF,Torino,Serie A,29,1992,26.9,18,0.669144981,16,0,0,0,0,2,1,0.037174721,1,0,0,0,0,0
756,Alexander Djiku,GHA,DF,Strasbourg,Ligue 1,27,1994,29.7,24,0.808080808,22,1,0,1,0,0,5,0.168350168,5,0,0,0,0,0
